id,time,latitude,longitude,depth,mag,place
tx2025sjswon,2025-09-18T06:04:06.799Z,31.73,-104.12,4.26,1.60,"49 km W of Mentone, Texas"
ak025bzql6po,2025-09-18T05:58:03.482Z,62.58,-145.21,94.30,2.40,"28 km W of Chistochina, Alaska"
ak025bzql2g1,2025-09-18T05:57:48.177Z,63.33,-145.47,16.20,2.70,"28 km NNE of Paxson, Alaska"
nc75239047,2025-09-18T05:56:08.050Z,38.82,-122.85,0.87,1.07,"9 km NW of The Geysers, CA"
nc75239042,2025-09-18T05:55:40.330Z,38.83,-122.82,1.49,0.79,"8 km NNW of The Geysers, CA"
ak025bzqj9vs,2025-09-18T05:49:11.444Z,63.33,-145.47,17.40,2.30,"28 km NNE of Paxson, Alaska"
ci40442786,2025-09-18T05:48:44.170Z,33.13,-116.03,7.74,0.84,"10 km E of Ocotillo Wells, CA"
ci40442778,2025-09-18T05:47:44.570Z,36.08,-117.62,1.60,1.39,"30 km E of Coso Junction, CA"
nc75239037,2025-09-18T05:43:15.550Z,37.47,-118.92,11.07,0.88,"19 km S of Mammoth Lakes, CA"
ci40442770,2025-09-18T05:39:39.760Z,35.93,-117.72,2.96,0.81,"17 km E of Little Lake, CA"
us7000qwvl,2025-09-18T05:36:29.948Z,54.39,-160.11,32.87,3.20,"107 km SSE of Sand Point, Alaska"
uw62191096,2025-09-18T05:25:45.970Z,46.88,-121.91,10.65,0.36,"16 km NE of Ashford, Washington"
us7000qwvk,2025-09-18T05:15:09.056Z,12.02,-89.29,10.00,4.60,"161 km SSW of Puerto El Triunfo, El Salvador"
ci40442762,2025-09-18T05:07:58.660Z,33.47,-116.50,13.33,0.57,"18 km ESE of Anza, CA"
ci40442602,2025-09-18T04:54:50.560Z,33.50,-116.50,14.12,0.54,"17 km ESE of Anza, CA"
ak025bzpyqlu,2025-09-18T04:53:30.426Z,62.74,-151.25,3.10,1.50,"36 km NW of Petersville, Alaska"
ak025bzpv2i9,2025-09-18T04:36:18.161Z,62.20,-150.67,0.00,2.50,"26 km WSW of Trapper Creek, Alaska"
ak025bzpu1d4,2025-09-18T04:31:37.042Z,61.42,-149.89,34.80,1.60,"8 km NE of Point MacKenzie, Alaska"
ak025bzptret,2025-09-18T04:30:08.051Z,61.51,-149.91,42.70,1.10,"2 km ESE of Big Lake, Alaska"
nc75239022,2025-09-18T04:05:24.060Z,38.84,-122.78,1.18,0.78,"6 km WNW of Cobb, CA"
ak025bzpo30b,2025-09-18T04:03:57.897Z,56.28,-156.86,17.10,2.50,"95 km E of Chignik, Alaska"
us7000qwva,2025-09-18T03:47:32.650Z,4.27,127.72,124.16,5.20,"280 km ESE of Sarangani, Philippines"
nc75239017,2025-09-18T03:37:40.210Z,38.82,-122.84,2.32,1.08,"9 km NW of The Geysers, CA"
ok2025shhy,2025-09-18T03:37:14.064Z,35.62,-98.00,1.22,2.07,"10 km NNW of El Reno, Oklahoma"
us7000qwv3,2025-09-18T03:30:36.264Z,-0.62,128.09,41.97,4.80,"68 km E of Labuha, Indonesia"
ci40442442,2025-09-18T03:27:51.590Z,35.08,-119.10,11.88,1.11,"22 km NW of Grapevine, CA"
pr71495898,2025-09-18T03:25:01.970Z,18.82,-67.13,28.02,3.00,"36 km N of San Antonio, Puerto Rico"
nn00904547,2025-09-18T02:59:58.618Z,36.77,-116.27,12.30,-0.40,"46 km ESE of Beatty, Nevada"
ak025bzos4ys,2025-09-18T02:54:54.443Z,61.23,-146.81,0.00,1.50,"27 km WNW of Valdez, Alaska"
ak025bzol9qn,2025-09-18T02:22:50.398Z,60.45,-142.96,4.30,1.20,"109 km S of McCarthy, Alaska"
us7000qwux,2025-09-18T02:19:57.552Z,28.04,52.30,10.00,4.20,"78 km NW of Mohr, Iran"
